Ligand SMILES,Target Name,Kd (nM)
CC[C@H](NS(=O)(=O)c1ccc(-c2sc(nc2CC(C)(C)OC)-c2nnc(CC(C)(C)OC=O)o2)c2ccccc12)C(F)(F)F,Nuclear receptor ROR-gamma,0.47
COC(C)(C)Cc1nc(sc1-c1ccc(c2ccccc12)S(=O)(=O)N[C@@H](C)C(F)(F)F)-c1nnc(CC(C)(C)OC=O)o1,Nuclear receptor ROR-gamma,3.3
C[C@H](NS(=O)(=O)c1ccc(-c2sc(nc2CC2CC(C)(C)C2)-c2nnc(CC(C)(C)C(O)=O)o2)c(Cl)c1Cl)C(F)(F)F,Nuclear receptor ROR-gamma,0.083
CC[C@H](NS(=O)(=O)c1ccc(-c2sc(nc2CC2CC(F)(F)C2)-c2nnc(CC(C)(C)C(O)=O)o2)c(Cl)c1Cl)C(F)(F)F,Nuclear receptor ROR-gamma,0.28
C[C@H](NS(=O)(=O)c1ccc(-c2sc(nc2CC2CC(F)(F)C2)-c2nnc(CC(C)(C)C(O)=O)o2)c2ccccc12)C(F)(F)F,Nuclear receptor ROR-gamma,0.96
CC[C@H](NS(=O)(=O)c1ccc(-c2sc(nc2Cc2ccc(F)cc2)-c2nnc(CC(C)(C)C(O)=O)o2)c(C(F)F)c1F)C(F)(F)F,Nuclear receptor ROR-gamma,0.044
C[C@H](NS(=O)(=O)c1ccc(-c2sc(nc2Cc2ccc(F)cc2)-c2nnc(CC(C)(C)C(O)=O)o2)c(Cl)c1Cl)C(F)(F)F,Nuclear receptor ROR-gamma,0.07
CC(C)(Cc1nnc(o1)-c1nc(CC2CCC2)c(s1)-c1ccc(c(Cl)c1Cl)C(O)(C(F)(F)F)C(F)(F)F)C(O)=O,Nuclear receptor ROR-gamma,18.0
C[C@H](NC(=O)c1cc(cc(c1)C1(C)CC1)-c1sc(nc1CC1CCC1)-c1nnc(CC(C)(C)OC=O)o1)C(F)(F)F,Nuclear receptor ROR-gamma,5.6
CC(C)(C)c1cc(cc(c1)C(O)(C(F)(F)F)C(F)(F)F)-c1sc(nc1CC1CCC1)-c1nnc(CC(C)(C)C(O)=O)o1,Nuclear receptor ROR-gamma,1.1
C[C@H](NC(=O)c1cc(cc(c1)C1(CC1)C(F)(F)F)-c1sc(nc1CC1CCC1)-c1nnc(CC(C)(C)C(O)=O)o1)C(F)(F)F,Nuclear receptor ROR-gamma,4.0
CC[C@H](NS(=O)(=O)c1ccc(-c2sc(nc2CC2CCCC2)-c2nnc(CC(C)(C)C(O)=O)o2)c(C(F)F)c1F)C(F)(F)F,Nuclear receptor ROR-gamma,0.038
CC[C@H](NS(=O)(=O)c1ccc(-c2sc(nc2COC(C)C)-c2nnc(CC(C)(C)C(O)=O)o2)c2ccccc12)C(F)(F)F,Nuclear receptor ROR-gamma,0.71
C[C@H](NS(=O)(=O)c1ccc(-c2sc(nc2CC2CCCC2)-c2nnc(CC(C)(C)C(O)=O)o2)c(C(F)F)c1Cl)C(F)(F)F,Nuclear receptor ROR-gamma,0.03
CC[C@H](NS(=O)(=O)c1ccc(-c2sc(nc2CC2CCCC2)-c2nnc(CC(C)(C)C(O)=O)o2)c(F)c1C(F)F)C(F)(F)F,Nuclear receptor ROR-gamma,0.02
CC(C)(Cc1nnc(o1)-c1nc(Cc2ccc(F)cc2)c(s1)-c1ccc(cc1C(F)F)C(O)(C(F)(F)F)C(F)(F)F)C(O)=O,Nuclear receptor ROR-gamma,0.12
CC[C@@H](NS(=O)(=O)c1ccc(-c2sc(nc2CC2CCC2)-c2nnc(CC(C)(C)C(O)=O)o2)c(C(F)F)c1F)C(F)(F)F,Nuclear receptor ROR-gamma,1.3
CC[C@H](NS(=O)(=O)c1ccc(-c2sc(nc2CC(C)(C)OC)-c2nnc(CC(C)(C)OC=O)o2)c(Cl)c1Cl)C(F)(F)F,Nuclear receptor ROR-gamma,2.3
CC[C@H](NS(=O)(=O)c1ccc(-c2sc(nc2CC2CC(F)(F)C2)-c2nnc(CC(C)(C)C(O)=O)o2)c2ccccc12)C(F)(F)F,Nuclear receptor ROR-gamma,0.04
C[C@H](NS(=O)(=O)c1ccc(-c2sc(nc2CC2CCC2)-c2nnc(o2)[C@H]2C[C@@H](C2)OC=O)c(Cl)c1Cl)C(F)(F)F,Nuclear receptor ROR-gamma,4.3
CC[C@H](NS(=O)(=O)c1ccc(-c2sc(nc2CN2CCCC(F)(F)C2)-c2nnc(o2)C(C)(C)O)c(Cl)c1Cl)C(F)(F)F,Nuclear receptor ROR-gamma,1.2
CC[C@H](NS(=O)(=O)c1ccc(-c2sc(nc2CN2CCCC(F)(F)C2)-c2nnc(CC(C)(C)C(O)=O)o2)c(Cl)c1Cl)C(F)(F)F,Nuclear receptor ROR-gamma,0.32
CC[C@H](NS(=O)(=O)c1ccc(-c2sc(nc2CN2CCC[C@@H](F)C2)-c2nnc(CC(C)(C)C(O)=O)o2)c2ccccc12)C(F)(F)F,Nuclear receptor ROR-gamma,0.2
CC[C@H](NS(=O)(=O)c1ccc(-c2sc(nc2CN2CCCC(F)(F)C2)-c2nnc(CC(C)(C)C(O)=O)o2)c2ccccc12)C(F)(F)F,Nuclear receptor ROR-gamma,0.12
CC(C)(Cc1nnc(o1)-c1nc(CN2CCCC(F)(F)C2)c(s1)-c1ccc(c(Cl)c1Cl)C(O)(C(F)(F)F)C(F)(F)F)C(O)=O,Nuclear receptor ROR-gamma,1.1
CC(C)(Cc1nnc(o1)-c1nc(CN2CCC[C@@H](F)C2)c(s1)-c1ccc(c(Cl)c1Cl)C(O)(C(F)(F)F)C(F)(F)F)C(O)=O,Nuclear receptor ROR-gamma,1.6
C[C@H](NS(=O)(=O)c1ccc(-c2sc(nc2CC2CCC2)-c2nnc(CC(C)(C)OC=O)s2)c(Cl)c1Cl)C(F)(F)F,Nuclear receptor ROR-gamma,14.0
C[C@H](NS(=O)(=O)c1ccc(-c2sc(nc2CC2CCC2)-c2noc(CC(C)(C)OC=O)n2)c(Cl)c1Cl)C(F)(F)F,Nuclear receptor ROR-gamma,0.39
C[C@H](NS(=O)(=O)c1ccc(-c2sc(nc2CC2CCC2)-c2noc(CC(C)(C)OC=O)n2)c(OC(F)(F)F)c1)C(F)(F)F,Nuclear receptor ROR-gamma,0.62
C[C@H](NS(=O)(=O)c1ccc(-c2sc(nc2CC2CCCCC2)-c2noc(CC(C)(C)OC=O)n2)c2ccncc12)C(F)(F)F,Nuclear receptor ROR-gamma,0.12
C[C@H](NS(=O)(=O)c1ccc(-c2sc(nc2CC2CCCCC2)-c2noc(CC(C)(C)OC=O)n2)c2cnccc12)C(F)(F)F,Nuclear receptor ROR-gamma,0.08
C[C@H](NS(=O)(=O)c1ccc(-c2sc(nc2CC2CCCCC2)-c2noc(CC(C)(C)OC=O)n2)c(OC(F)(F)F)c1)C(F)(F)F,Nuclear receptor ROR-gamma,0.06
C[C@H](NS(=O)(=O)c1ncc(-c2sc(nc2CC2CCC2)-c2noc(CC(C)(C)OC=O)n2)c2ccccc12)C(F)(F)F,Nuclear receptor ROR-gamma,0.21
CC[C@H](NS(=O)(=O)c1ccc(-c2sc(nc2CC2CCC2)-c2noc(CC(C)(C)OC=O)n2)c(C(F)F)c1F)C(F)(F)F,Nuclear receptor ROR-gamma,0.14
CC[C@H](NS(=O)(=O)c1ccc(-c2sc(nc2CC2CCC2)-c2noc(CC(C)(C)OC=O)n2)c(c1F)C(F)(F)F)C(F)(F)F,Nuclear receptor ROR-gamma,0.27
CC[C@H](NS(=O)(=O)c1ccc(-c2sc(nc2CC(C)(C)OC)-c2noc(CC(C)(C)OC=O)n2)c(Cl)c1Cl)C(F)(F)F,Nuclear receptor ROR-gamma,0.35
C[C@H](NC(=O)c1cc(cc(c1)C1(C)CC1)-c1sc(nc1CC1CCCCC1)-c1noc(CC(C)(C)OC=O)n1)C(F)(F)F,Nuclear receptor ROR-gamma,0.15
CC[C@H](NS(=O)(=O)c1ccc(-c2sc(nc2CC2(CCC2)OC)-c2noc(CC(C)(C)OC=O)n2)c(Cl)c1Cl)C(F)(F)F,Nuclear receptor ROR-gamma,0.23
C[C@H](NS(=O)(=O)c1ccc(-c2sc(nc2CC2CCC2)-c2noc(CC(C)(C)C(O)=O)n2)c(C(F)F)c1Cl)C(F)(F)F,Nuclear receptor ROR-gamma,0.024
CC[C@H](NS(=O)(=O)c1ccc(-c2sc(nc2CN2CCCC(F)(F)C2)-c2noc(CC(C)(C)C(O)=O)n2)c(C(F)F)c1F)C(F)(F)F,Nuclear receptor ROR-gamma,0.12
CC[C@H](NS(=O)(=O)c1ccc(-c2sc(nc2CN2CCCC(F)(F)C2)-c2noc(CC(C)(C)OC=O)n2)c(Cl)c1Cl)C(F)(F)F,Nuclear receptor ROR-gamma,0.05
CC[C@H](NS(=O)(=O)c1ccc(-c2sc(nc2CN2CC(F)(F)C[C@@H]2C)-c2noc(CC(C)(C)OC=O)n2)c(Cl)c1Cl)C(F)(F)F,Nuclear receptor ROR-gamma,0.019
CC[C@H](NS(=O)(=O)c1ccc(-c2sc(nc2CN2CC(F)(F)C[C@@H]2C)-c2noc(CC(C)(C)C(O)=O)n2)c(C(F)F)c1F)C(F)(F)F,Nuclear receptor ROR-gamma,0.063
CC[C@H](NS(=O)(=O)c1ccc(-c2sc(nc2CN2CCC[C@@H]2C)-c2noc(CC(C)(C)C(O)=O)n2)c(C(F)F)c1F)C(F)(F)F,Nuclear receptor ROR-gamma,1.8
CC[C@H](NS(=O)(=O)c1ccc(-c2sc(nc2CN2CCC(F)(F)[C@@H]2C)-c2noc(CC(C)(C)C(O)=O)n2)c(C(F)F)c1F)C(F)(F)F,Nuclear receptor ROR-gamma,0.33
CC[C@H](NS(=O)(=O)c1ccc(-c2sc(nc2CN2CC(F)(F)CC2(C)C)-c2noc(CC(C)(C)C(O)=O)n2)c(C(F)F)c1F)C(F)(F)F,Nuclear receptor ROR-gamma,1.6
CC[C@H](NS(=O)(=O)c1ccc(-c2sc(nc2CN2CCC[C@@H]2CF)-c2noc(CC(C)(C)C(O)=O)n2)c(C(F)F)c1F)C(F)(F)F,Nuclear receptor ROR-gamma,0.29
C[C@H](NS(=O)(=O)c1ccc(-c2sc(nc2CC2CCC2)-c2cc(CC(C)(C)C)on2)c(Cl)c1Cl)C(F)(F)F,Nuclear receptor ROR-gamma,2.7
C[C@H](NS(=O)(=O)c1ccc(-c2sc(nc2CC2CCC2)-c2cccc(CC(C)(C)OC=O)c2)c(Cl)c1Cl)C(F)(F)F,Nuclear receptor ROR-gamma,0.62
C[C@H](NS(=O)(=O)c1ccc(-c2sc(nc2CC2CCC2)-c2cccc(CC(C)(C)OC=O)n2)c2ccncc12)C(F)(F)F,Nuclear receptor ROR-gamma,0.17
C[C@H](NS(=O)(=O)c1ccc(-c2sc(nc2CC2CCC2)-c2cc(CC(C)(C)OC=O)ncn2)c(Cl)c1Cl)C(F)(F)F,Nuclear receptor ROR-gamma,1.5
C[C@H](NS(=O)(=O)c1ccc(-c2sc(nc2CC2CCC2)-c2cc(CC(C)(C)OC=O)ncn2)c2ccncc12)C(F)(F)F,Nuclear receptor ROR-gamma,23.0
C[C@H](NS(=O)(=O)c1ccc(-c2sc(nc2CC2CCC2)-c2cnc(CC(C)(C)C(O)=O)s2)c(Cl)c1Cl)C(F)(F)F,Nuclear receptor ROR-gamma,0.46
CC1CCN(CC1)C(=O)c1nc(sc1-c1ccc(c2ccccc12)C(O)(C(F)(F)F)C(F)(F)F)C(=O)NCC(C)(C)O,Nuclear receptor ROR-gamma,5.6
CC(C)(O)CNC(=O)c1nc(C(=O)N2C3CCC2CC3)c(s1)-c1ccc(c(Cl)c1Cl)C(O)(C(F)(F)F)C(F)(F)F,Nuclear receptor ROR-gamma,5.7
C[C@H]1C[C@@H](F)CCN1C(=O)c1nc(sc1-c1ccc(c(Cl)c1Cl)C(O)(C(F)(F)F)C(F)(F)F)C(=O)NCC(C)(C)O,Nuclear receptor ROR-gamma,0.16
C[C@H]1CC(F)(F)CN1C(=O)c1nc(sc1-c1ccc(c(Cl)c1Cl)C(O)(C(F)(F)F)C(F)(F)F)C(=O)NCC(C)(C)O,Nuclear receptor ROR-gamma,0.22
CC(C)(O)CNC(=O)c1nc(C(=O)N2CCC(C)(F)C2)c(s1)-c1ccc(c(Cl)c1Cl)C(N)(C(F)(F)F)C(F)(F)F,Nuclear receptor ROR-gamma,5.5
CC(C)(O)CNC(=O)c1nc(C(=O)N2CC3CC2C3)c(s1)-c1ccc(c(Cl)c1Cl)C(O)(C(F)(F)F)C(F)(F)F,Nuclear receptor ROR-gamma,3.7
CCN(CC(F)(F)F)C(=O)c1nc(sc1-c1ccc(c(Cl)c1Cl)C(O)(C(F)(F)F)C(F)(F)F)C(=O)NCC(C)(C)O,Nuclear receptor ROR-gamma,0.67
CCCN(C)C(=O)c1nc(sc1-c1ccc(c(Cl)c1Cl)C(O)(C(F)(F)F)C(F)(F)F)C(=O)NCC(C)(C)O,Nuclear receptor ROR-gamma,3.1
